Model,seq_len,Battery,MSE,MAE,RMSE,MAPE,R²
PatchTST,30,B2C20,0.303,0.4921,0.5505,0.5303,0.9919
PatchTST,30,B2C22,0.2055,0.3874,0.4534,0.4125,0.9928
PatchTST,30,B2C28,0.1217,0.2566,0.3488,0.2837,0.9957
PatchTST,30,B2C34,0.3738,0.5017,0.6114,0.5345,0.9661
PatchTST,30,B2C35,0.3959,0.5806,0.6292,0.6183,0.9845
PatchTST,30,B2C46,1.0209,0.6375,1.0104,0.7018,0.9429
PatchTST,50,B2C20,0.1714,0.3639,0.414,0.3866,0.9925
PatchTST,50,B2C22,0.4601,0.534,0.6783,0.5609,0.9716
PatchTST,50,B2C28,0.1305,0.3038,0.3612,0.3214,0.9918
PatchTST,50,B2C34,0.5255,0.5999,0.7249,0.649,0.9718
PatchTST,50,B2C35,0.1211,0.2387,0.3479,0.2579,0.9904
PatchTST,50,B2C46,0.269,0.406,0.5186,0.4268,0.9618
PatchTST,70,B2C20,0.2322,0.4252,0.4818,0.459,0.9928
PatchTST,70,B2C22,0.453,0.5671,0.6731,0.6027,0.9812
PatchTST,70,B2C28,0.2086,0.3028,0.4567,0.3389,0.9913
PatchTST,70,B2C34,0.8219,0.7066,0.9066,0.7867,0.972
PatchTST,70,B2C35,0.2606,0.3865,0.5105,0.4182,0.9874
PatchTST,70,B2C46,0.7626,0.7129,0.8733,0.7601,0.9448
PatchTST,100,B2C20,0.1732,0.3245,0.4161,0.3549,0.9925
PatchTST,100,B2C22,0.3868,0.586,0.622,0.623,0.9763
PatchTST,100,B2C28,0.1233,0.2635,0.3511,0.2853,0.9925
PatchTST,100,B2C34,0.8469,0.7038,0.9203,0.7593,0.9567
PatchTST,100,B2C35,0.3924,0.4348,0.6264,0.4671,0.969
PatchTST,100,B2C46,0.6586,0.5949,0.8115,0.6284,0.911
iTransformer,30,B2C20,0.4536,0.593,0.6735,0.6345,0.9878
iTransformer,30,B2C22,0.309,0.4909,0.5559,0.5212,0.9892
iTransformer,30,B2C28,0.2731,0.4055,0.5226,0.4498,0.9903
iTransformer,30,B2C34,0.6644,0.6367,0.8151,0.6801,0.9397
iTransformer,30,B2C35,1.2679,0.958,1.126,1.0341,0.9505
iTransformer,30,B2C46,1.4773,0.9863,1.2154,1.0539,0.9174
iTransformer,50,B2C20,0.679,0.7437,0.824,0.7987,0.9702
iTransformer,50,B2C22,0.3775,0.4918,0.6144,0.5199,0.9767
iTransformer,50,B2C28,0.302,0.4246,0.5495,0.4615,0.9809
iTransformer,50,B2C34,0.7756,0.555,0.8807,0.5998,0.9584
iTransformer,50,B2C35,1.0612,0.9209,1.0301,0.9773,0.9158
iTransformer,50,B2C46,1.4744,1.0384,1.2143,1.0772,0.7905
iTransformer,70,B2C20,0.7103,0.7234,0.8428,0.7883,0.978
iTransformer,70,B2C22,0.4291,0.5818,0.6551,0.6228,0.9822
iTransformer,70,B2C28,0.4542,0.5689,0.6739,0.6155,0.9811
iTransformer,70,B2C34,0.8886,0.8121,0.9427,0.8641,0.9698
iTransformer,70,B2C35,2.1722,1.1897,1.4738,1.2743,0.8953
iTransformer,70,B2C46,1.8414,1.2153,1.357,1.2732,0.8668
iTransformer,100,B2C20,1.2305,0.9861,1.1093,1.0726,0.9466
iTransformer,100,B2C22,0.528,0.6593,0.7267,0.7084,0.9676
iTransformer,100,B2C28,0.1979,0.3638,0.4448,0.388,0.9879
iTransformer,100,B2C34,0.5348,0.5503,0.7313,0.5899,0.9726
iTransformer,100,B2C35,1.6339,1.0651,1.2782,1.1393,0.871
iTransformer,100,B2C46,0.5818,0.6925,0.7628,0.7235,0.9214
